STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	人	ひと	Người	ハノイは人が多いです。\nHà Nội thì nhiều người.	14	Nhà của Cáo N5
2	ビル	ビル	Tòa nhà	あそこはビルが少ないですね。\nĐằng đó ít tòa nhà nhỉ.	14	Nhà của Cáo N5
3	緑	みどり	Màu xanh; Sắc xanh	ダナンは緑が少なくないです。\nĐà Nẵng không ít sắc xanh đâu.	14	Nhà của Cáo N5
4	（お）寺	（お）てら	Chùa	キツネさんのお国のお寺は大きいですか。\nChùa ở đất nước của anh Cáo có to không?	14	Nhà của Cáo N5
5	多い	おおい	Nhiều	私の町も人が多くありません。\nThành phố của tôi cũng không đông người lắm.	14	Nhà của Cáo N5
6	少ない	すくない	Ít	この町は緑が少ないですね。\nThành phố này ít cây xanh nhỉ.	14	Nhà của Cáo N5
7	大きい	おおきい	To	ネコさんの町は大きいですか。\nThành phố của anh Neko có lớn không?	14	Nhà của Cáo N5
8	小さい	ちいさい	Nhỏ	いいえ、大きくありません。小さいです。\nKhông, không lớn đâu. Nhỏ thôi à.	14	Nhà của Cáo N5
9	静か（な）	しずか（な）	Yên tĩnh	この駅は静かですね。\nNhà ga này yên tĩnh thật nhỉ.	14	Nhà của Cáo N5
10	にぎやか（な）	にぎやか（な）	Nhộn nhịp	ノイバイ空港はにぎやかですか。\nSân bay Nội Bài có nhộn nhịp không?	14	Nhà của Cáo N5
11	そして	そして	Và…	私の町は小さいです。そして、にぎやかじゃありません。\nThành phố của tôi khá nhỏ. Và, nó cũng không nhộn nhịp.	14	Nhà của Cáo N5
