STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
1	お誕生日はいつですか？	お誕生日（たんじょうび）は？	Sinh nhật bạn là khi nào thế?	4	Nhà của Cáo N5
2	お誕生日は？	お誕生日（たんじょうび）はいつですか？	Sinh nhật bạn là khi nào thế?	4	Nhà của Cáo N5
3	お名前は何ですか？	お名前（なまえ）は？	Tên của bạn là gì?	4	Nhà của Cáo N5
4	お名前は？	お名前（なまえ）は何（なん）ですか？	Tên của bạn là gì?	4	Nhà của Cáo N5
5	お仕事は何ですか。	お仕事（しごと）は？	Công việc của bạn là gì?	4	Nhà của Cáo N5
6	お仕事は？	お仕事（しごと）は何（なん）ですか。	Công việc của bạn là gì?	4	Nhà của Cáo N5
7	お国はどちらですか？	お国（くに）は？	Đất nước bạn ở đâu thế?	4	Nhà của Cáo N5
8	お国は？	お国（くに）はどちらですか？	Đất nước bạn ở đâu thế?	4	Nhà của Cáo N5
9	キツネさんの誕生日はいつですか？	キツネさんの誕生日（たんじょうび）は？	Sinh nhật anh Kitsune là khi nào thế?	4	Nhà của Cáo N5
10	キツネさんの誕生日は？	キツネさんの誕生日（たんじょうび）はいつですか？	Sinh nhật anh Kitsune là khi nào thế?	4	Nhà của Cáo N5
11	キツネさんの仕事は何ですか。	キツネさんの仕事（しごと）は？	Công việc của anh Kitsune là gì?	4	Nhà của Cáo N5
12	キツネさんの仕事は？	キツネさんの仕事（しごと）は何（なん）ですか。	Công việc của anh Kitsune là gì?	4	Nhà của Cáo N5
13	キツネさんの国はどちらですか？	キツネさんの国（くに）は？	Đất nước anh Kitsune ở đâu thế?	4	Nhà của Cáo N5
14	キツネさんの国は？	キツネさんの国（くに）はどちらですか？	Đất nước anh Kitsune ở đâu thế?	4	Nhà của Cáo N5
15	ネコさんの誕生日はいつですか？	ネコさんの誕生日（たんじょうび）は？	Sinh nhật anh Neko là khi nào thế?	4	Nhà của Cáo N5
16	ネコさんの誕生日は？	ネコさんの誕生日（たんじょうび）はいつですか？	Sinh nhật anh Neko là khi nào thế?	4	Nhà của Cáo N5
17	ネコさんの仕事は何ですか。	ネコさんの仕事（しごと）は？	Công việc của anh Neko là gì?	4	Nhà của Cáo N5
18	ネコさんの仕事は？	ネコさんの仕事（しごと）は何（なん）ですか。	Công việc của anh Neko là gì?	4	Nhà của Cáo N5
19	ネコさんの国はどちらですか？	ネコさんの国（くに）は？	Đất nước anh Neko ở đâu thế?	4	Nhà của Cáo N5
20	ネコさんの国は？	ネコさんの国（くに）はどちらですか？	Đất nước anh Neko ở đâu thế?	4	Nhà của Cáo N5
21	イヌさんの誕生日はいつですか？	イヌさんの誕生日（たんじょうび）は？	Sinh nhật anh Inu là khi nào thế?	4	Nhà của Cáo N5
22	イヌさんの誕生日は？	イヌさんの誕生日（たんじょうび）はいつですか？	Sinh nhật anh Inu là khi nào thế?	4	Nhà của Cáo N5
23	イヌさんの仕事は何ですか。	イヌさんの仕事（しごと）は？	Công việc của anh Inu là gì?	4	Nhà của Cáo N5
24	イヌさんの仕事は？	イヌさんの仕事（しごと）は何（なん）ですか。	Công việc của anh Inu là gì?	4	Nhà của Cáo N5
25	イヌさんの国はどちらですか？	イヌさんの国（くに）は？	Đất nước anh Inu ở đâu thế?	4	Nhà của Cáo N5
26	イヌさんの国は？	イヌさんの国（くに）はどちらですか？	Đất nước anh Inu ở đâu thế?	4	Nhà của Cáo N5
27	お誕生日は３月３日ですか。	お誕生日（たんじょうび）は３月（さんがつ）３日（みっか）ですか。	Sinh nhật bạn là ngày 3 tháng 3 phải không?	4	Nhà của Cáo N5
28	お誕生日は１２月２１日じゃありません。	お誕生日（たんじょうび）は１２月（じゅうにがつ）２１日（にじゅういちにち）じゃありません。	Sinh nhật tôi không phải là ngày 21 tháng 12.	4	Nhà của Cáo N5
