STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Tên Giáo Trình
1	身内	みうち	Họ hàng, người trong gia đình	キツネさんが会社設立を成功させたのを皮切りに、身内からのサポートが相次いだ。\nSau khi anh Kitsune thành công trong việc thành lập công ty, sự hỗ trợ từ gia đình và người thân liên tiếp xuất hiện.	1	Hajimete N1
2	親類	しんるい	Họ hàng, người thân	イヌさんは、親類からして皆礼儀正しいのだから、彼があれほど丁寧なのも納得だ。\nXét từ phía họ hàng thân thích thôi đã thấy ai cũng lịch sự rồi, nên việc anh Inu tử tế đến thế cũng là điều dễ hiểu.	1	Hajimete N1
3	親戚	しんせき	Họ hàng, bà con (từ thông dụng nhất)	久しぶりの再会とあって、親戚一同は大いに盛り上がった。\nVì là cuộc đoàn tụ sau bao ngày xa cách nên cả gia đình họ hàng đều chung vui hết mình.	1	Hajimete N1
4	肉親	にくしん	Người thân ruột thịt (thường là bố mẹ, anh chị em ruột)	ネコさんは、肉親にもまして恩師のことを大切に思っている。\nHơn cả những người thân ruột thịt, anh Neko luôn coi trọng người thầy của mình.	1	Hajimete N1
5	配偶者	はいぐうしゃ	Vợ/chồng (cách nói trang trọng/pháp luật)	キツネさんは配偶者の誕生日に、手紙からプレゼントに至るまで、すべて手作りで準備した。\nAnh Kitsune đã tự tay chuẩn bị mọi thứ cho sinh nhật vợ, từ lá thư cho đến cả quà tặng.	1	Hajimete N1
6	パートナー	パートナー	Bạn đời, người đồng hành, đối tác	信頼できるパートナーを得たのは、イヌさんの人徳ならではだ。\nViệc có được một người bạn đời đáng tin cậy chính là nhờ vào nhân đức của riêng anh Inu.	1	Hajimete N1
7	家系	かけい	Dòng họ, gia phả	有名な医者の家系とあって, ネコさんは幼い頃から医学を志していた。\nVì xuất thân từ dòng họ bác sĩ danh tiếng, anh Neko đã quyết tâm theo ngành y từ khi còn nhỏ.	1	Hajimete N1
8	家系図	かけいず	Sơ đồ gia phả, cây gia phả	キツネさんは家系図のみならず、先祖の武勇伝に至るまで詳しく語ってくれた。\nAnh Kitsune đã kể chi tiết cho tôi nghe không chỉ về sơ đồ gia phả mà đến cả những chiến tích của tổ tiên.	1	Hajimete N1
9	おふくろ	おふくろ	Mẹ (cách gọi thân mật của nam giới)	おふくろからの手紙を皮切りに、イヌさんは故郷を思い出し、涙を流した。\nBắt đầu từ lá thư của mẹ, anh Inu nhớ về quê hương và đã rơi lệ.	1	Hajimete N1
10	おふくろの味	おふくろのあじ	Hương vị món ăn mẹ nấu	この味噌汁の深みは、ネコさんのおふくろの味ならではだ。\nĐộ đậm đà của bát canh miso này đúng là hương vị riêng biệt từ tay mẹ anh Neko nấu.	1	Hajimete N1
11	おやじ	おやじ	Bố (cách gọi thân mật của nam giới)	おやじは昔から頑固で、言葉遣いからして厳しい人だった。\nÔng già tôi từ xưa đã bảo thủ, ngay từ cách dùng từ thôi đã thấy khắc nghiệt rồi.	1	Hajimete N1
