STT	Câu tiếng Nhật	Câu tiếng Nhật và phiên âm	Câu tiếng Việt	Unit	Giáo trình
1	会議の間に大切なメールをもらいました。	会議（かいぎ）の間（あいだ）に大切（たいせつ）なメールをもらいました。	Tôi nhận được mail quan trọng trong lúc đang họp.	7	Dekiru Nihongo Sơ Trung Cấp
2	課長はもうお帰りになりました。	課長（かちょう）はもうお帰（かえ）りになりました。	Trưởng phòng đã về rồi ạ.	7	Dekiru Nihongo Sơ Trung Cấp
3	社長、どちらへいらっしゃいますか。	社長（しゃちょう）、どちらへいらっしゃいますか。	Thưa Giám đốc, ngài đang đi đâu thế ạ.	7	Dekiru Nihongo Sơ Trung Cấp
4	イヌさんの電話番号をご存じですか。	イヌさんの電話番号（でんわばんごう）をご存（ぞん）じですか。	Ngài có biết số điện thoại của anh Inu không?	7	Dekiru Nihongo Sơ Trung Cấp
5	あちらに座っていらっしゃる方はどなたですか。	あちらに座（すわ）っていらっしゃる方（かた）はどなたですか。	Người đang ngồi đằng kia là vị nào thế ạ?	7	Dekiru Nihongo Sơ Trung Cấp
6	待っている間にミステリーの本を読みました。	待（ま）っている間（あいだ）にミステリーの本（ほん）を読（よ）みました。	Tôi đã đọc truyện trinh thám trong khi chờ đợi.	7	Dekiru Nihongo Sơ Trung Cấp
7	イヌさんは、推理小説をよくお読みになりますか。	イヌさんは、推理（すいり）小説（しょうせつ）をよくお読（よ）みになりますか。	Anh Inu có hay đọc tiểu thuyết trinh thám không?	7	Dekiru Nihongo Sơ Trung Cấp
8	頂いた冒険漫画を拝見しました。	頂（いただ）いた冒険（ぼうけん）漫画（まんが）を拝見（はいけん）しました。	Tôi đã đọc cuốn truyện tranh phiêu lưu của anh rồi.	7	Dekiru Nihongo Sơ Trung Cấp
9	ホラー漫画の文字を大きくしました。	ホラー漫画（まんが）の文字（もじ）を大（おお）きくしました。	Tôi đã phóng lớn chữ trong cuốn truyện tranh kinh dị.	7	Dekiru Nihongo Sơ Trung Cấp
10	この空想科学の小説をお買いになりましたか。	この空想（くうそう）科学（かがく）の小説（しょうせつ）をお買（か）いになりましたか。	Anh đã mua cuốn tiểu thuyết khoa học viễn tưởng này chưa?	7	Dekiru Nihongo Sơ Trung Cấp
11	新しい青春漫画をお貸ししますね。	新（あたら）しい青春（せいしゅん）漫画（まんが）をお貸（か）ししますね。	Tôi sẽ cho cậu mượn cuốn truyện tranh học đường mới.	7	Dekiru Nihongo Sơ Trung Cấp
