STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
1	イヌと申します。	イヌと申（もう）します。	Tôi tên là Inu.	1	Dekiru Nihongo Sơ Trung Cấp
2	ネコと申します。	ネコと申（もう）します。	Tôi tên là Neko.	1	Dekiru Nihongo Sơ Trung Cấp
3	キツネと申します。	キツネ và 申（もう）します。	Tôi tên là Kitsune.	1	Dekiru Nihongo Sơ Trung Cấp
4	ネコさんはいらっしゃいますか。	ネコさんはいらっしゃいますか。	Có anh Neko ở đó không ạ?	1	Dekiru Nihongo Sơ Trung Cấp
5	キツネさんはどちらからいらっしゃいますか。	キツネさんはどちらからいらっしゃいますか。	Anh Kitsune đến từ đâu vậy ạ?	1	Dekiru Nihongo Sơ Trung Cấp
6	ベトナムから参りました。	ベトナムから参（まい）りました。	Tôi đến từ Việt Nam.	1	Dekiru Nihongo Sơ Trung Cấp
7	半年前に日本へ参りました。	半年（はんとし）前（まえ）に日本（にほん）へ参（まい）りました。	Tôi đã đến Nhật vào nửa năm trước.	1	Dekiru Nihongo Sơ Trung Cấp
8	イヌ先生はいらっしゃいましたか。すみません。すぐに参ります。	イヌ先生（せんせい）はいらっしゃいましたか。すみません。すぐに参（まい）ります。	Thầy Inu đã đến chưa ạ? Xin lỗi, tôi sẽ đến ngay đây.	1	Dekiru Nihongo Sơ Trung Cấp
9	アルバイト希望の方はいらっしゃいましたか? すみません。すぐに参ります。	アルバイト希望（きぼう）の方（かた）はいらっしゃいましたか。すみません。すぐに参（まい）ります。	Đã có người muốn ứng tuyển làm thêm đến chưa? Xin lỗi, tôi sẽ đến ngay.	1	Dekiru Nihongo Sơ Trung Cấp
10	チラシを見て電話している者ですが、キツネさんはいらっしゃいますか。	チラシを見（み）て電話（でんわ）している者（もの）ですが、キツネさんはいらっしゃいますか。	Tôi là người đang gọi điện sau khi xem tờ rơi, có anh Kitsune ở đó không ạ?	1	Dekiru Nihongo Sơ Trung Cấp
11	ホームページを見て電話している者ですが、キツネさんはいらっしゃいますか。	ホームページを見（み）て電話（でんわ）している者（もの）ですが、キツネさんはいらっしゃいますか。	Tôi là người đang gọi điện sau khi xem trang web, có anh Kitsune ở đó không ạ?	1	Dekiru Nihongo Sơ Trung Cấp
12	雑誌で募集しているのを見て、電話している者ですが、キツネさんはいらっしゃいますか。	雑誌（ざっし）で募集（ぼしゅう）しているのを見（み）て、電話（でんわ）している者（もの）ですが、キツネさんはいらっしゃいますか。	Tôi là người đang gọi điện sau khi xem tin tuyển dụng trên tạp chí, có anh Kitsune ở đó không ạ?	1	Dekiru Nihongo Sơ Trung Cấp
13	学生証をまだもらっていないので、面接の日に履歴書だけ持って行ってもいいですか。	学生証（がくせいしょう）をまだもらっていないので、面接（めんせつ）の日（ひ）に履歴書（りれきしょ）だけ持（も）って行（い）ってもいいですか。	Vì tôi vẫn chưa nhận được thẻ sinh viên, ngày phỏng vấn tôi chỉ mang theo sơ yếu lý lịch có được không?	1	Dekiru Nihongo Sơ Trung Cấp
14	資格外活動許可書をまだもらっていないので、面接の日に履歴書だけ持って行ってもいいですか。	資格外活動許可書（しかくがいかつどうきょかしょ）をまだもらっていないので、面接（めんせつ）の日（ひ）に履歴書（りれきしょ）だけ持（も）って行（い）ってもいいですか。	Vì tôi chưa nhận được giấy phép hoạt động ngoài tư cách lưu trú, ngày phỏng vấn tôi chỉ mang theo sơ yếu lý lịch có được không?	1	Dekiru Nihongo Sơ Trung Cấp
15	お刺身など食べられません。	お刺身（さしみ）など食（た）べられません。	Tôi không thể ăn những món như sushi/sashimi.	1	Dekiru Nihongo Sơ Trung Cấp
