STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	画面	がめん	Màn hình	この電子辞書、画面が小さすぎますね。\nCái kim từ điển này, màn hình bé quá nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	腕時計	うでどけい	Đồng hồ đeo tay	その腕時計、高そうですね。一度見せてらえませんか？\nCái đồng hồ đó trông có vẻ đắt nhỉ. Bạn cho tôi xem một chút được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	セーター	セーター	Áo len	イヌさん、このセーターを一度着てみます。\nAnh Inu ơi, tôi sẽ mặc thử cái áo len này nhé.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	スーツケース	スーツケース	Vali	ネコさんのスーツケースは重すぎて、運びにくいです。\nVali của chị Neko nặng quá nên khó mang đi quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	コート	コート	Áo khoác	このコートは厚くて、とても暖かそうです。\nCái áo khoác này dày, trông có vẻ ấm áp quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	棚	たな	Cái kệ, giá	キツネさん、棚にカレンダーが貼ってありますよ。\nAnh Kitsune ơi, trên kệ có dán tờ lịch kìa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	指輪	ゆびわ	Nhẫn	この指輪はきらきらしていて、高そうですね。\nChiếc nhẫn này lấp lánh, trông có vẻ đắt tiền nhỉ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	サイズ	サイズ	Kích cỡ	この靴はサイズが小さすぎて、履きにくいです。\nĐôi giày này size nhỏ quá, khó xỏ chân vào quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	数字	すうじ	Con số	画面に数字が書いてあります。\nTrên màn hình có viết các con số.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	ヒール	ヒール	Giày cao gót	ネコさん、そのヒールは歩きにくくないですか？\nChị Neko ơi, đôi cao gót đó không khó đi à?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	ボタン	ボタン	Nút bấm, cúc áo	このボタンは小さすぎて、押しにくいです。\nCái nút này nhỏ quá, khó bấm quá.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	ジーンズ	ジーンズ	Quần jean	イヌさん、新しいジーンズを履いてみました。\nAnh Inu đã mặc thử chiếc quần jean mới.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	売り場	うりば	Quầy bán hàng	売り場の場所を教えてもらえませんか？\nBạn chỉ cho tôi quầy bán hàng ở đâu được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	講義	こうぎ	Bài giảng	先生の講義は分かりやすくて、覚えやすいです。\nBài giảng của thầy dễ hiểu nên cũng dễ nhớ.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	動く	うごく	Chuyển động, chạy (máy)	この時計は古すぎて、もう動きません。\nCái đồng hồ này cũ quá rồi, không còn chạy nữa.	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
16	説明する	せつめいする	Giải thích	キツネさん、使い方を説明してもらえませんか？\nAnh Kitsune giải thích cho tôi cách dùng được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
17	配達する	はいたつする	Giao hàng	荷物を配達してもらえませんか？\nBạn giao giúp tôi món hàng này được không?	2	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
