STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	私	わたし	Tôi	私はベトナム人です。\nTôi là người Việt Nam.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
2	（お）名前	なまえ	Tên (khi dùng với người khác thì thêm お vào trước)	お名前は何ですか。\nTên bạn là gì?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
3	（お）国	くに	Nước (khi dùng với người khác thì thêm お vào trước)	お国はどちらですか。\nBạn từ nước nào đến?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
4	日本	にほん	Nhật Bản	日本が好きです。\nTôi thích Nhật Bản.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
5	アメリカ	アメリカ	Mỹ	アメリカから来ました。\nTôi đến từ Mỹ.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
6	イタリア	イタリア	Ý	イタリア料理を食べます。\nTôi ăn món Ý.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
7	オーストラリア	オーストラリア	Úc	オーストラリアは広いです。\nNước Úc rất rộng lớn.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
8	韓国	かんこく	Hàn Quốc	韓国のドラマを見ます。\nTôi xem phim truyền hình Hàn Quốc.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
9	タイ	タイ	Thái Lan	タイは暑いです。\nThái Lan nóng.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
10	中国	ちゅうごく	Trung Quốc	中国は大きいです。\nTrung Quốc rất lớn.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
11	ロシア	ロシア	Nga	ロシアは寒いです。\nNga rất lạnh.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
12	高校	こうこう	Trung học phổ thông	高校の先生です。\nLà giáo viên cấp 3.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
13	大学	だいがく	Đại học	ハノイ大学の学生です。\nLà sinh viên đại học Hà Nội.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
14	日本語学校	にほんごがっこう	Trường tiếng Nhật	日本語学校で勉強します。\nHọc tại trường tiếng Nhật.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
15	（お）仕事	しごと	Công việc (khi dùng với người khác thì thêm お vào trước)	お仕事は何ですか。\nCông việc của bạn là gì?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
16	学生	がくせい	Học sinh	私は学生です。\nTôi là học sinh/sinh viên.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
17	先生	せんせい	Giáo viên (dùng cho người khác)	田中先生は優しいです。\nThầy Tanaka rất hiền.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
18	教師	きょうし	Giáo viên (dùng cho bản thân)	私は教師です。\nTôi là giáo viên.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
19	会社員	かいしゃいん	Nhân viên công ty (thường không kết hợp được với tên công ty)	父は会社員です。\nBố tôi là nhân viên công ty.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
20	〜社員	〜しゃいん	Nhân viên công ty ~ (thường có thể kết hợp với tên công ty)	IMCの社員です。\nLà nhân viên của công ty IMC.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
21	〜さん	さん	Anh/chị ~	リンさん、こんにちは。\nChào chị Linh.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
22	〜人	〜じん	Người ~ (ví dụ: người Nhật)	日本人が3人います。\nCó 3 người Nhật.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
23	どちら	どちら	Nào	お国はどちらですか。\nBạn ở nước nào?	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
24	お国はどちらですか。	おくにはどちらですか	Bạn người nước nào?	「お国はどちらですか」「ベトナムです」\nNước bạn ở đâu? - Là Việt Nam.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
25	はじめまして	はじめまして	Câu chào khi lần đầu gặp	はじめまして。アンです。\nRất vui được gặp bạn. Tôi là An.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
26	（どうぞ）よろしくお願いします	どうぞよろしくおねがいします	Rất mong được sự giúp đỡ của anh/chị.	これから、どうぞよろしくお願いします。\nTừ nay mong được anh chị giúp đỡ.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
27	こちらこそ	こちらこそ	Chính tôi cũng thế	「よろしくお願いします」「こちらこそ」\nRất mong được giúp đỡ - Tôi cũng vậy.	1	できる日本語初級 - Dekiru Nihongo Sơ Cấp
