STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
1	キツネさんの趣味は何ですか。	キツネさんの趣味（しゅみ）は何（なん）ですか。	Sở thích của anh Kitsune là gì thế?	5	Nhà của Cáo N5
2	イヌさんの趣味は何ですか。	イヌさんの趣味（しゅみ）は何（なん）ですか。	Sở thích của anh Inu là gì thế?	5	Nhà của Cáo N5
3	ネコさんの趣味は何ですか。	ネコさんの趣味（しゅみ）は何（なん）ですか。	Sở thích của anh Neko là gì thế?	5	Nhà của Cáo N5
4	キツネさんの趣味はアニメと生け花じゃありません。	キツネさんの趣味（しゅみ）はアニメと生（い）け花（ばな）じゃありません。	Sở thích của anh Kitsune không phải là anime và cắm hoa nghệ thuật.	5	Nhà của Cáo N5
5	キツネさんの趣味もピアノと歌じゃありません。	キツネさんの趣味（しゅみ）もピアノと歌（うた）じゃありません。	Sở thích của anh Kitsune cũng không phải là piano và hát.	5	Nhà của Cáo N5
6	ネコさんの趣味もギターと生け花じゃありません。	ネコさんの趣味（しゅみ）もギターと生（い）け花（ばな）じゃありません.	Sở thích của anh Neko cũng không phải là guitar và cắm hoa nghệ thuật.	5	Nhà của Cáo N5
7	キツネさんの趣味はジャズとスキーじゃありません。	キツネさんの趣味（しゅみ）はジャズとスキーじゃありません。	Sở thích của anh Kitsune không phải là nhạc jazz và trượt tuyết.	5	Nhà của Cáo N5
8	ネコさんの趣味はポップス và テニスじゃありません。	ネコさんの趣味（しゅみ）はポップスとテニスじゃありません。	Sở thích của anh Neko không phải là nhạc pop và tennis.	5	Nhà của Cáo N5
9	キツネさんの趣味はロックと水泳ですか。	キツネさんの趣味（しゅみ）はロックと水泳（すいえい）ですか。	Sở thích của anh Kitsune là nhạc rock và bơi lội phải không?	5	Nhà của Cáo N5
10	イヌさんの趣味はスポーツとゲームですか。	イヌさんの趣味（しゅみ）はスポーツとゲームですか。	Sở thích của anh Inu là thể thao và trò chơi điện tử phải không?	5	Nhà của Cáo N5
11	イヌさんの趣味はジョギングと旅行じゃありません。	イヌさんの趣味（しゅみ）はジョギングと旅行（りょこう）じゃありません。	Sở thích của anh Inu không phải là chạy bộ và du lịch.	5	Nhà của Cáo N5
12	ネコさんの趣味はスキーとダンスです。	ネコさんの趣味（しゅみ）はスキーとダンスです。	Sở thích của anh Neko là trượt tuyết và khiêu vũ.	5	Nhà của Cáo N5
13	イヌさんの趣味もダンスと生け花です。	イヌさんの趣味（しゅみ）もダンスと生（い）け花（ばな）です。	Sở thích của anh Inu cũng là khiêu vũ và cắm hoa nghệ thuật.	5	Nhà của Cáo N5
14	イヌさんの趣味も釣りとポップスです。	イヌさんの趣味（しゅみ）も釣（つ）りとポップスです。	Sở thích của anh Inu cũng là câu cá và nhạc pop.	5	Nhà của Cáo N5
15	キツネさんの趣味は野球とジョギングですか。	キツネさんの趣味（しゅみ）は野球（やきゅう）とジョギングですか。	Sở thích của anh Kitsune là bóng chày và chạy bộ phải không?	5	Nhà của Cáo N5
16	キツネさんの趣味も相撲とスキーじゃありません。	キツネさんの趣味（しゅみ）も相撲（すもう）とスキーじゃありません。	Sở thích của anh Kitsune cũng không phải là sumo và trượt tuyết.	5	Nhà của Cáo N5
17	私の趣味も柔道と音楽じゃありません。	私（わたし）の趣味（しゅみ）も柔道（じゅうどう）と音楽（おんがく）じゃありません。	Sở thích của tôi cũng không phải là judo và âm nhạc.	5	Nhà của Cáo N5
18	ネコさんの趣味も空手道とカラオケじゃありません。	ネコさんの趣味（しゅみ）も空手道（からてどう）とカラオケじゃありません。	Sở thích của anh Neko cũng không phải là karate và karaoke.	5	Nhà của Cáo N5
19	イヌさんの趣味はゴルフと相撲です。	イヌさんの趣味（しゅみ）はゴルフと相撲（すもう）です。	Sở thích của anh Inu là golf và sumo.	5	Nhà của Cáo N5
20	キツネさんの趣味もサッカーと水泳ですか。	キツネさんの趣味（しゅみ）もサッカーと水泳（すいえい）ですか。	Sở thích của anh Kitsune cũng là bóng đá và bơi lội phải không?	5	Nhà của Cáo N5
21	私の趣味もテニスとスポーツです。	私（わたし）の趣味（しゅみ）もテニスとスポーツです。	Sở thích của tôi cũng là tennis và thể thao.	5	Nhà của Cáo N5
22	ネコさんの趣味も水泳と映画です。	ネコさんの趣味（しゅみ）も水泳（すいえい）と映画（えいが）です。	Sở thích của anh Neko cũng là bơi lội và xem phim.	5	Nhà của Cáo N5
23	ネコさんの趣味は読書とカラオケです。	ネコさんの趣味（しゅみ）は読書（どくしょ）とカラオケです。	Sở thích của anh Neko là đọc sách và karaoke.	5	Nhà của Cáo N5
24	私の趣味も旅行とゲームじゃありません。	私（わたし）の趣味（しゅみ）も旅行（りょこう）とゲームじゃありません。	Sở thích của tôi cũng không phải là du lịch và trò chơi điện tử.	5	Nhà của Cáo N5
25	イヌさんの趣味も料理とギターです。	イヌさんの趣味（しゅみ）も料理（りょうり）とギターです。	Sở thích của anh Inu cũng là nấu ăn và guitar.	5	Nhà của Cáo N5
26	キツネさんの趣味は生け花とスキーじゃありませんか。	キツネさんの趣味（しゅみ）は生（い）け花（ばな）とスキーじゃありませんか。	Sở thích của anh Kitsune không phải là cắm hoa nghệ thuật và trượt tuyết phải không?	5	Nhà của Cáo N5
27	私の趣味は茶道と野球です。	私（わたし）の趣味（しゅみ）は茶道（さどう）と野球（やきゅう）です。	Sở thích của tôi là trà đạo và bóng chày.	5	Nhà của Cáo N5
28	ネコさんの趣味も写真と空手道ですか。	ネコさんの趣味（しゅみ）も写真（しゃしん）と空手道（からてどう）ですか。	Sở thích của anh Neko cũng là nhiếp ảnh và karate phải không?	5	Nhà của Cáo N5
